DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por UF de notificação e Ano Notificação
Período:2007-2013
"UF de notificação";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"Total"
"11 Rondônia";3128;5644;18736;21434;2952;3194;8485;63573
"12 Acre";526;2228;19406;34316;18833;2259;2467;80035
"13 Amazonas";1938;7530;1669;7469;62247;5359;17545;103757
"14 Roraima";913;4928;3222;7372;1297;1845;933;20510
"15 Pará";13958;15620;7666;14832;16811;16327;8941;94155
"16 Amapá";3631;1207;1720;3244;2765;1533;1683;15783
"17 Tocantins";12820;10349;4123;9008;9314;11795;8698;66107
"21 Maranhão";13345;5510;2200;5556;10247;5270;3489;45617
"22 Piauí";9906;2464;4122;7069;9830;12326;5004;50721
"23 Ceará";34395;48600;8081;20988;60635;54991;29974;257664
"24 Rio Grande do Norte";13067;28885;2730;6966;20854;26643;16663;115808
"25 Paraíba";10788;7806;967;6161;10944;8577;13114;58357
"26 Pernambuco";22600;18798;2961;33004;16070;31096;7159;131688
"27 Alagoas";10623;13136;4036;45169;7479;27488;10599;118530
"28 Sergipe";1431;21554;1906;588;2440;4622;822;33363
"29 Bahia";9485;33969;100398;44097;36347;48227;60381;332904
"31 Minas Gerais";28555;49307;55868;211040;34153;30121;415068;824112
"32 Espírito Santo";6815;25857;38880;23340;32872;11462;66468;205694
"33 Rio de Janeiro";56417;200039;8526;26691;158528;178515;208419;837135
"35 São Paulo";115309;11726;12203;199735;109272;28093;216398;692736
"41 Paraná";27274;1860;1631;37855;28894;4579;65907;168000
"42 Santa Catarina";157;82;60;182;139;93;305;1018
"43 Rio Grande do Sul";423;134;73;3602;331;155;448;5166
"50 Mato Grosso do Sul";70322;759;13482;62856;6263;9277;78072;241031
"51 Mato Grosso";16598;6783;52464;36579;5008;32848;34912;185192
"52 Goiás";14853;35533;43690;100864;23145;23856;130542;372483
"53 Distrito Federal";1254;1351;913;15471;1607;1814;19738;42148
"Total";500531;561659;411733;985488;689277;582365;1432234;5163287
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 ncluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados, pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Para tabular os óbitos por dengue até 2012, deve-se considerar apenas os casos graves (DCC, FHD, SCD, DSA, DG) em que a evolução seja "óbito pelo agravo notificado" com critério de confirmação laboratorial e clínico-epidemiológico. A partir de 2013,
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 atualizados em 30/08/2009.
 Dados de 2008 atualizados em 17/03/2011.
 Dados de 2009 atualizados em 23/06/2011.
 Dados de 2010 atualizados em 18/06/2011.
 Dados de 2011 atualizados em 11/01/2012.
 Dados de 2012 atualizados em 25/07/2013.
 Dados de 2013 atualizados em 10/07/2014.
 Data da publicação dos dados 04/02/2019.
 
